test_id,varied_index,varied_value,primal_manual_vs_original,primal_herbie_vs_original,primal_manual_vs_herbie,first_manual_vs_original,first_herbie_vs_original,first_manual_vs_herbie,second_manual_vs_original,second_herbie_vs_original,second_manual_vs_herbie
300,3,-3.8297139140462612e-11,0,0,0,0,0,0,0,0,0
301,3,-3.5901303770070605e-11,0,0,0,0,0,0,0,0,0
302,3,-3.3655349755070936e-11,0,0,0,0,0,0,0,0,0
303,3,-3.1549900649580829e-11,0,0,0,0,0,0,0,0,0
304,3,-2.9576166589932462e-11,0,0,0,0,0,0,0,0,0
305,3,-2.7725907598604728e-11,0,0,0,0,0,0,0,0,0
306,3,-2.5991399183829209e-11,0,0,0,0,0,0,0,0,0
307,3,-2.4365400091254594e-11,0,0,0,0,0,0,0,0,0
308,3,-2.2841122073038239e-11,0,0,0,0,0,0,0,0,0
309,3,-2.1412201548157264e-11,0,0,0,0,0,0,0,0,0
310,3,-2.0072673035625642e-11,0,0,0,0,0,0,0,0,0
311,3,-1.8816944249705486e-11,0,0,0,0,0,0,0,0,0
312,3,-1.7639772753140362e-11,0,0,0,0,0,0,0,0,0
313,3,-1.6536244070941767e-11,0,0,0,0,0,0,0,0,0
314,3,-1.5501751173357699e-11,0,0,0,0,0,0,0,0,0
315,3,-1.4531975242368941e-11,0,0,0,0,0,0,0,0,0
316,3,-1.3622867641416434e-11,0,0,0,0,0,0,0,0,0
317,3,-1.2770633013086393e-11,0,0,0,0,0,0,0,0,0
318,3,-1.1971713434189611e-11,0,0,0,0,0,0,0,0,0
319,3,-1.1222773562085052e-11,0,0,0,0,0,0,0,0,0
320,3,-1.0520686710236229e-11,0,0,0,0,0,0,0,0,0
321,3,-9.8625217948687697e-12,0,0,0,0,0,0,0,0,0
322,3,-9.2455310982335517e-12,0,0,0,0,0,0,0,0,0
323,3,-8.6671387973892018e-12,0,0,0,0,0,0,0,0,0
324,3,-8.1249302106140128e-12,0,0,0,0,0,0,0,0,0
325,3,-7.6166417165528747e-12,0,0,0,0,0,0,0,0,0
326,3,-7.1401513040133745e-12,0,0,0,0,0,0,0,0,0
327,3,-6.6934697129586539e-12,0,0,0,0,0,0,0,0,0
328,3,-6.2747321297115645e-12,0,0,0,0,0,0,0,0,0
329,3,-5.8821904016999372e-12,0,0,0,0,0,0,0,0,0
330,3,-5.5142057392402755e-12,0,0,0,0,0,0,0,0,0
331,3,-5.1692418738915886e-12,0,0,0,0,0,0,0,0,0
332,3,-4.8458586448164785e-12,0,0,0,0,0,0,0,0,0
333,3,-4.5427059863740406e-12,0,0,0,0,0,0,0,0,0
334,3,-4.2585182918434056e-12,0,0,0,0,0,0,0,0,0
335,3,-3.9921091297480385e-12,0,0,0,0,0,0,0,0,0
336,3,-3.742366290721964e-12,0,0,0,0,0,0,0,0,0
337,3,-3.5082471442397837e-12,0,0,0,0,0,0,0,0,0
338,3,-3.2887742858255001e-12,0,0,0,0,0,0,0,0,0
339,3,-3.0830314565682738e-12,0,0,0,0,0,0,0,0,0
340,3,-2.8901597179095036e-12,0,0,0,0,0,0,0,0,0
341,3,-2.7093538657320428e-12,0,0,0,0,0,0,0,0,0
342,3,-2.539859068780714e-12,0,0,0,0,0,0,0,0,0
343,3,-2.3809677173803535e-12,0,0,0,0,0,0,0,0,0
344,3,-2.2320164692952265e-12,0,0,0,0,0,0,0,0,0
345,3,-2.0923834803969759e-12,0,0,0,0,0,0,0,0,0
346,3,-1.9614858085794272e-12,0,0,0,0,0,0,0,0,0
347,3,-1.8387769800823215e-12,0,0,0,0,0,0,0,0,0
348,3,-1.7237447080636122e-12,0,0,0,0,0,0,0,0,0
349,3,-1.6159087538959151e-12,0,0,0,0,0,0,0,0,0
350,3,-1.5148189222583409e-12,0,0,0,0,0,0,0,0,0
351,3,-1.4200531816536815e-12,0,0,0,0,0,0,0,0,0
352,3,-1.3312159025043054e-12,0,0,0,0,0,0,0,0,0
353,3,-1.2479362054713073e-12,0,0,0,0,0,0,0,0,0
354,3,-1.1698664131013022e-12,0,0,0,0,0,0,0,0,0
355,3,-1.0966805983368664e-12,0,0,0,0,0,0,0,0,0
356,3,-1.0280732238308619e-12,0,0,0,0,0,0,0,0,0
357,3,-9.6375786638410826e-13,0,0,0,0,0,0,0,0,0
358,3,-9.0346602118105132e-13,0,0,0,0,0,0,0,0,0
359,3,-8.4694598083145604e-13,0,0,0,0,0,0,0,0,0
360,3,-7.9396178453822479e-13,0,0,0,0,0,0,0,0,0
361,3,-7.4429223300437195e-13,0,0,0,0,0,0,0,0,0
362,3,-6.9772996496655159e-13,0,0,0,0,0,0,0,0,0
363,3,-6.540805914998251e-13,0,0,0,0,0,0,0,0,0
364,3,-6.1316188447957641e-13,0,0,0,0,0,0,0,0,0
365,3,-5.7480301581253368e-13,0,0,0,0,0,0,0,0,0
366,3,-5.3884384426082013e-13,0,0,0,0,0,0,0,0,0
367,3,-5.0513424688167381e-13,0,0,0,0,0,0,0,0,0
368,3,-4.7353349229171037e-13,0,0,0,0,0,0,0,0,0
369,3,-4.4390965313921674e-13,0,0,0,0,0,0,0,0,0
370,3,-4.1613905533167012e-13,0,0,0,0,0,0,0,0,0
371,3,-3.9010576171909815e-13,0,0,0,0,0,0,0,0,0
372,3,-3.6570108807774766e-13,0,0,0,0,0,0,0,0,0
373,3,-3.4282314937339529e-13,0,0,0,0,0,0,0,0,0
374,3,-3.2137643441002684e-13,0,0,0,0,0,0,0,0,0
375,3,-3.0127140708811631e-13,0,0,0,0,0,0,0,0,0
376,3,-2.8242413260784301e-13,0,0,0,0,0,0,0,0,0
377,3,-2.6475592705670598e-13,0,0,0,0,0,0,0,0,0
378,3,-2.4819302891862452e-13,0,0,0,0,0,0,0,0,0
379,3,-2.326662911331447e-13,0,0,0,0,0,0,0,0,0
380,3,-2.1811089241915139e-13,0,0,0,0,0,0,0,0,0
381,3,-2.0446606665791088e-13,0,0,0,0,0,0,0,0,0
382,3,-1.9167484920568122e-13,0,0,0,0,0,0,0,0,0
383,3,-1.7968383907677156e-13,0,0,0,0,0,0,0,0,0
384,3,-1.684429760042309e-13,0,0,0,0,0,0,0,0,0
